schema,new_file,old_file,path,change_type,property,old_value,new_value,description
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","detalleDTE[].codigoGeneracion","description_modificado","description","Codigo de generacion del documento reportado.","Codigo de generacion del documento","Codigo de generacion del documento"
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","detalleDTE[].codigoGeneracion","restriccion_modificada","pattern","^[A-F0-9]{8}-[A-F0-9]{4}-[A-F0-9]{4}-[A-F0-9]{4}-[A-F0-9]{12}$","","Codigo de generacion del documento"
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","detalleDTE[].noItem","restriccion_modificada","maxLength","4","","Numero correlativo."
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","detalleDTE[].noItem","restriccion_modificada","minimum","","1","Numero correlativo."
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","detalleDTE[].noItem","restriccion_modificada","maximum","","1000","Numero correlativo."
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","detalleDTE[].tipoDoc","description_modificado","description","Tipo de Documento Tributario Electronico","Tipo de Documento en contingencia","Tipo de Documento en contingencia"
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","detalleDTE[].tipoDoc","restriccion_modificada","pattern","^0[1-9]|1[0-5]$","","Tipo de Documento en contingencia"
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","emisor","description_modificado","description","Informacion del emisor.","Informacion del emisor","Informacion del emisor"
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","emisor.codEstableMH","requerido_modificado","required","no","si","Código del establecimiento asignado por el MH"
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","emisor.codEstableMH","description_modificado","description","Codigo, Numero o Identificador de establecimiento por MH","Código del establecimiento asignado por el MH","Código del establecimiento asignado por el MH"
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","emisor.codPuntoVenta","eliminado","campo","tipo=string|null | requerido=no | descripcion=Codigo, Numero o Identificador de punto de venta por Contribuyente | restricciones=minLength=1; maxLength=15","","Codigo, Numero o Identificador de punto de venta por Contribuyente"
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","emisor.codPuntoVentaMH","agregado","campo","","tipo=string|null | requerido=si | descripcion=Código del Punto de Venta (Emisor) Asignado por el MH | restricciones=minLength=4; maxLength=4","Código del Punto de Venta (Emisor) Asignado por el MH"
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","emisor.correo","restriccion_modificada","format","email","","Correo electronico del emisor"
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","emisor.correo","restriccion_modificada","minLength","3","1","Correo electronico del emisor"
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","emisor.nit","description_modificado","description","NIT, sin guiones","NIT (Emisor)","NIT (Emisor)"
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","emisor.nit","restriccion_modificada","pattern","^([0-9]{14}|[0-9]{9})$","","NIT (Emisor)"
