schema,new_file,old_file,path,type,required,description
"contingencia-schema","svfe-json-schemas-new/v4/contingencia-schema-v4.json","svfe-json-schemas-old/contingencia-schema-v3.json","emisor.codPuntoVentaMH","string|null","si","Código del Punto de Venta (Emisor) Asignado por el MH"
"fe-ccf","svfe-json-schemas-new/v4/fe-ccf-v4.json","svfe-json-schemas-old/fe-ccf-v3.json","emisor.direccion.distrito","string","si","Dirección Distrito (Emisor)"
"fe-ccf","svfe-json-schemas-new/v4/fe-ccf-v4.json","svfe-json-schemas-old/fe-ccf-v3.json","receptor.direccion.distrito","string","si","Dirección Distrito (Receptor)"
"fe-ccf","svfe-json-schemas-new/v4/fe-ccf-v4.json","svfe-json-schemas-old/fe-ccf-v3.json","ventaTercero.codDomiciliado","integer|null","si","Domicilio Fiscal"
"fe-ccf","svfe-json-schemas-new/v4/fe-ccf-v4.json","svfe-json-schemas-old/fe-ccf-v3.json","resumen.ivaPerci","number","si","IVA Percibido"
"fe-ccf","svfe-json-schemas-new/v4/fe-ccf-v4.json","svfe-json-schemas-old/fe-ccf-v3.json","resumen.ivaRete","number","si","IVA Retenido"
"fe-ccf","svfe-json-schemas-new/v4/fe-ccf-v4.json","svfe-json-schemas-old/fe-ccf-v3.json","resumen.observaciones","string|null","si","Observaciones"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor","object","si","Emisor/Donatario"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.tipoDocumento","string","si","Tipo de documento de identificación (Emisor) "
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.numDocumento","string","si","Número de documento de Identificación (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.nrc","string|null","si","NRC (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.nombre","string","si","Nombre (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.codActividad","string","si","Código de Actividad Económica (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.descActividad","string","si","Actividad Económica (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.nombreComercial","string|null","si","Nombre Comercial (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.direccion","object","si","Dirección (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.direccion.departamento","string","si","Dirección Departamento (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.direccion.municipio","string","si","Dirección Municipio (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.direccion.distrito","string","si","Dirección Distrito (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.direccion.complemento","string","si","Dirección complemento (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.telefono","string","si","Teléfono (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.correo","string","si","Correo electrónico (Emisor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.codEstable","string|null","si","Código del establecimiento asignado por el contribuyente"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","emisor.codPuntoVenta","string|null","si","Código del Punto de Venta (Emisor) asignado por el contribuyente"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","receptor","object","si","Receptor/Donante"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","receptor.tipoDocumento","string","si","Tipo de documento de identificación (Receptor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","receptor.numDocumento","string","si","Número de documento de Identificación (Receptor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","receptor.nrc","string|null","si","NRC (Receptor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","receptor.nombre","string","si","Nombre (Receptor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","receptor.codActividad","string|null","si","Código de Actividad Económica (Receptor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","receptor.descActividad","string|null","si","Actividad Económica (Receptor)"
"fe-cd","svfe-json-schemas-new/v2/fe-cd-v2.json","svfe-json-schemas-old/fe-cd-v1.json","receptor.direccion","null|object","si","Dirección (Receptor)"
